Region,Country,Owner,SPO1,Site ID,City,Model,IP,Serial Number,Department,Importance,Type_of_Device,Business Impacted Area
EER,Russia,Pepsico,PCH,RUSS-305,Kaliningrad,EPSON DFX-9000,11.209.12.54,GKL0029219,Production,1 - most critical,Printer,Move
EER,Russia,Pepsico,PCH,RUSS-305,Kaliningrad,EPSON DFX-9000,11.209.12.115,GKL0035698,Production,1 - most critical,Printer,Move
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
